,IMDB_URL,IMDB_MOVIENAME,OriginalTitle,SubText,IMDBRating,RatingStats,Director,Writer,Star,GENRES,Country,Language,Also Known As,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Production Co,Runtime,MOVIENAME
0,https://www.imdb.com/title/tt0111161/,The Shawshank Redemption (1994) ,,R|2h22min|Drama|14October1994(USA),9.3,"9.3 based on 2,263,119 user ratings",['Frank Darabont'],"['Stephen King', 'Frank Darabont']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",['Drama'],USA,English, Die Verurteilten      See more »      ,"$25,000,000            (estimated)"," $727,327,25 September 1994 "," $28,699,976        "," $28,815,245        ", Castle Rock Entertainment See more »      ,142 min,
1,https://www.imdb.com/title/tt0088763/,Back to the Future (1985) ,,"1h56min|Adventure,Comedy,Sci-Fi|3July1985(USA)",8.5,"8.5 based on 1,018,472 user ratings",['Robert Zemeckis'],"['Robert Zemeckis', 'Bob Gale']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']","['Adventure', 'Comedy', 'Sci-Fi']",USA,English, Volver al futuro      See more »      ,"$19,000,000            (estimated)"," $11,152,500,7 July 1985 "," $211,159,762        "," $391,352,008        "," Universal Pictures, Amblin Entertainment, U-Drive Productions See more »      ",116 min,
